"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"22722","LICNMID100","LICNAMC - LICNMID100","EQ","1.0000","1","ETF","E","NSE","72.1500","48.1000","","","1652039"
"22832","SMALLCAP","MIRAEAMC - SMALLCAP","EQ","1.0000","1","ETF","E","NSE","63.7500","42.5000","","","1874045"
"17475","NV20IETF","ICICI Prudential NV20 ETF","EQ","1.0000","1","ETF","E","NSE","19.3500","12.9000","","","3420518"
"7844","AUTOIETF","ICICIPRAMC - ICICIAUTO","EQ","1.0000","1","ETF","E","NSE","33.1200","22.0800","","","1199275"
"22901","GOLDCASE","ZERODHAAMC - GOLDCASE","EQ","1.0000","1","ETF","E","NSE","14.4100","9.6000","","","2204518"
"21254","LOWVOLIETF","ICICI Pru Nifty Low 30 ETF","EQ","1.0000","1","ETF","E","NSE","28.0000","18.6700","","","4272747"
"11386","PVTBANIETF","ICICI Pru Private Banks ETF","EQ","1.0000","1","ETF","E","NSE","31.9000","21.2700","","","3671521"
"544132","GOLDCASE","Zerodha Mutual Fund","E","1.0000","1","ETF","E","BSE","14.4100","9.6000","","","-1"
"23184","MOREALTY","MOTILALAMC - MOREALTY","EQ","1.0000","1","ETF","E","NSE","131.9100","87.9400","","","177886"
"23181","MOSMALL250","MOTILALAMC - MOSMALL250","EQ","1.0000","1","ETF","E","NSE","22.1000","14.7300","","","1785418"
"23407","LIQUIDADD","DSPAMC - LIQUIDADD","EQ","1.0000","1","ETF","E","NSE","1239.8400","826.5600","","","96860"
"22344","ALPL30IETF","ICICI Prudential Alpha Low ETF","EQ","1.0000","1","ETF","E","NSE","38.4200","25.6100","","","3126890"
"17152","MIDCAPIETF","ICICI Pru Midcap 150 ETF","EQ","1.0000","1","ETF","E","NSE","27.4500","18.3000","","","4361094"
"17702","MIDSELIETF","ICICI Prudential Midcap ETF","EQ","1.0000","1","ETF","E","NSE","22.6500","15.1000","","","1286570"
"5306","FMCGIETF","ICICI Prud FMCG ETF","EQ","1.0000","1","ETF","E","NSE","82.3800","54.9200","","","1456855"
"30392","NIF100IETF","ICICI Prudential Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","35.5900","23.7200","","","1097318"
"17808","QUAL30IETF","ICICIPRAMC - ICICIQTY30","EQ","1.0000","1","ETF","E","NSE","28.3500","18.9000","","","1322876"
"23806","ABSLPSE","BIRLASLAMC-ABSLPSE","EQ","1.0000","1","ETF","E","NSE","13.6000","9.0700","","","1020272"
